prompt,completion,,
"Using the production possibilities curve and relevant examples, explain the concepts of scarcity, choice and opportunity cost. [10]","Production Possibility Curve (PPC) shows the maximum amount of two goods and services that can be produced by an economy at a given point in time (eg, consumer goods and capital goods as shown in Fig 1), assuming:
o resources are fully employed
o production takes place over a specific period of time
o quantity and quality of resources to produce the goods are fixed over the given period
o technology remains constant during the given period

Scarcity as illustrated on the PPC
- ability to produce only combinations of goods within or on the PPC (Points A, B or C)
- the economy achieves productive efficiency if it produces on the PPC (Points A and B) producing at the maximum output with its given resources.
- the economy’s resources are under‐utilised if it produces within the PPC (Point C) it is
possible to increase the production of capital goods with reducing the production of consumer goods.
- for every point within the PPC, there will always be another point which yields higher level of economic welfareable to produce more of one good without sacrificing the other
- by minimising the average cost of producing goods and services, the economy can maximize its output from given stock of resourcessatisfy more wants
- points beyond PPC are unattainable due to limited resources (Point D) PPC indicates the maximum quantities of the two goods that can be produced by the economy

Choice as illustrated on the PPC
 choosing to produce at two different points on the PPC (Points A or B), depending on the economy’s preference for between capital and consumer goods.
 economy will produce at Point A if it prefers more capital goods; will produce at Point B if it prefers more consumer goods
o the economy achieves allocative efficiency when it produces the right mix of goods and services so as to maximise economic welfare
Opportunity Cost as illustrated on PPC
 trade‐off between the two goods
 PPC is concave due to increasing opportunity cost because resources are not perfectly
adaptable for alternative useswhen the economy channels more resources to produce any specific good, the opportunity cost increases for each additional unit produced",,
"Discuss the view that, on balance, globalisation has benefitted Singapore. [15]","Globalisation
 the process of increasing free flow of goods and services, capital, investment, labour and ideas
Benefits of Globalisation for Singapore
 small and open economy  dependent on trade for growth  increase in demand for exports leads to a rise in AD, stimulates greater output (actual growth) and employment
 domestic firms can reap IEOS with a greater global market to serve, efficiency may also improve under greater global competition.
 lack natural resources (factor endowment)  import from countries with abundance resources (availability and lower cost of production, SRAS shifts out)
 import resources for consumptionable to consume beyond the range of goods that can be produced using domestic resources (consume beyond production possibilities to maximize social welfare)

dependent on inflow of talent, FDI and financial capital, skills and technologyable to develop knowledge intensive industries (potential comparative advantagepotential growth)
 benefit from outflow of domestic investments and outsourcing to lower cost of production
Negative Impact of Globalisation for Singapore
 high dependence on global market  extremely vulnerable to changes in global economic conditions (eg, effects of global financial crisis transmitted quickly to Singapore via large fall in export demanddrastic fall in AD, reducing domestic output and raises cyclical unemployment
 also experience capital volatility due to poor investor confidence (fall in expected net rate of return to investments)
 speeds up structural change in economy  eg, Singapore can quickly lose comparative advantage to developing countries (shift of low‐cost manufacturing through transfer of technology and information)occupational immobility of local workers can lead to rise in structural unemployment
 also increase in income disparity between skilled and unskilled workers
Possible Evaluation Points on whether Globalisation has benefitted Singapore
 depends on Singapore’s ability to retain benefits of globalization, eg, retention of profits from tangible FDI vs outflow of profits (worsening of current account in BOP)
 depends on Singapore’s ability to restructure its economy to offset the loss of comparative advantage in lower‐end industries, eg, retraining workers to reduce occupation immobility and leveling of income disparity, investment in technological advancements to develop knowledge‐ intensive industries with lesser competition",,
Explain the possible causes of high unemployment in Singapore. [10],"A high rate of unemployment can be caused by:
 Cyclical (demand‐deficit) unemployment
o Falling national incomes due to GFC  significant fall in purchasing power  sharp fall in Singapore’s export demand, assuming high YED for Singapore’s exports
o Large share of X in AD  fall in X leads to decrease in AD  firms face large unplanned investments, thus reducing output and demand for factors of production (including labour). Fall in NY and employment reinforced by multiplier process, leading to increase in cyclical unemployment.
 Structural unemployment
o Structural change in economy (eg, loss of export demand coupled with loss of
comparative advantage causing sharp decline in manufacturing sector, strong growth in services sector due to opening of IRs)laid‐off workers unable to find alternative employment (eg, due to factor immobility)high structural unemployment
 Real‐wage unemployment
o
Wages may be held above market clearing level and unable to adjust quickly (eg, contractual agreement)use DD/SS analysis to show surplus labourhigh real‐wage unemployment",,
Discuss whether demand-management policies can best address the issue of high unemployment in Singapore. [15],"Part (b)
© DHS 2011
28
 ‘Best address’ – discuss (i) speed and (ii) extent of resolving high unemployment
 Explain how demand management policies can solve demand‐deficient unemployment
(include limitations and inability to solve structural unemployment)
 The need for supply‐side policies to resolve structural unemployment (include
limitations of supply‐side measures)
 Provide judgment on the use of demand management policies to solve unemployment
in general.
 Use AD/AS diagrams to reflect the impacts of the relevant policies in addressing
unemployment
o Jobs Credit Scheme as a form of expansionary fiscal policy ‐ directly subsidise the cost of production for firms and retain employment.
 Limitations ‐ firms may still have to lay off workers (i) if they cannot stay afloat despite the reduction in the costs of production (ii) if they face persistent declining demand
o SPUR (Skills Programme for Upgrading and Resilience) – training opportunities for workers who are unemployed in view of skills mismatch with the employment opportunities available. The training serves to reduce domestic structural unemployment in the long run.
 Limitations – Need to convince employers and workers to invest time and effort for a long term benefit when they are facing short term constraints.
o Increase in government expenditure as a form of expansionary fiscal policies (eg, bring forward infrastructural projects, increase provisions in education and healthcare, expand employment in public sector). There are supply side effects from the expansionary fiscal policies since the expenses are on education and healthcare. This has long term effect of improving the AS curve to the right.
Evaluation:
  
Nature and magnitude of unemployment – combination of policies required to better address high unemployment
Characteristics of Singapore economy – small and open – limited effectiveness of government policies in dealing with external economic downturn
Time lags: increase in government spending might take some time to work through the economy. If the time lag is too long, the fiscal policy may prove to be destabilizing, because the economy could have recovered by then. The fiscal policy could thus lead to the problem of overheating the economy.",,
"China’s economy grew at an average of 10% over the past decade. Under the terms of the EU-China WTO accession agreement, China has also agreed to substantial reductions on import tariffs for over 150 leading European exports, ranging from machinery to wines and spirits.
Assess the likely impact of the rising income in China and her reduction of import tariffs on the sales of various types of EU’s exports to China and China’s domestic sales. [25]","Students to discuss the question based on simple demand and supply framework; need to show how equilibrium price and quantity being determined for a good;
Students to define sales as price * quantity, show the area in diagram; Identify the demand factors: income, taste and preferences
 Analyse how changes in income will affect the various goods imported from EU;
 Compared to domestic good, imported goods like EU cars, wines and fashion wears etc, should have an YED>1 (luxury), thus dd will increase for imported goods as income increased;
 Taste and preferences should also shift towards imported goods as compared to domestic goods;
 Thus DD for import will shift to the right while DD for the domestic goods should shift to the left cp;
Identify the supply factors: reducing tariff (cost of import)
 Reducing tariff will lower the cost of imported goods => SS curve will shift to the right;
 Thus, PED is important in determining the impacts on import expenditure;
 For most imported consumers durables, PED should be > 1 as imported goods are
viewed as more luxurious and proportion of income spend is relatively higher;
 Given a fall in price, import expenditure should increase;
 On the other hand, demand for domestic goods will fall as imported goods are substitutes for the domestic goods, example imported cars and domestic produced cars; the extend of the fall in domestic demand depends on the degree of substitutability between the imports and domestic goods;

The students need to divide the goods into various categories for a detail analysis: Case 1: Imported luxury goods
 Y ↑ => DD ↑ (YED > 1), also T&P will increase DD further
 SS↑astariff↓
 PED > 1, PES > 1 (manufacturing products)
 Sales (import expenditure) should ↑
Case 2: imported necessity
 Y ↑ => DD ↑ (YED < 1)
 SS↑astariff↓
 PED < 1, PES < 1 (manufacturing products)
 Sales depends on the relative shift of DD and SS
Case 3: imported FOP
 Derived demand, with increasing production, DD should ↑
 SS↑astariff↓
 PED < 1, PES > 1 (manufacturing products)
 Sales should increase
Case 4: China’s domestic products
 Y ↑ => DD ↓ (view as inferior as compared to YED < 1)
 T&P shift towards imported luxury goods
 SS ↑ as tariff ↓ (Pm ↓) XED between local and imports
 PED > 1, PES > 1 (manufacturing products)
 Sales should fall
Students must be able to use correctly drawn diagrams to illustrate changes in each market;
Evaluations: other factors may affect the overall demand and supply, such as China’s domestic goods may be luxury as well, depending on the range; also depends on the absolute price difference;",,
"Proton, Malaysia’s largest car producer, continues to struggle with high production costs that make local cars relatively more expensive than many foreign cars.
Source: AsiaTimes Aug 2003
(a) Explain how a firm like Proton can enjoy economies of scale. [10]","INTRODUCTION
Identify that Proton is a large producer in an oligopoly car market → it is able to enjoy internal and external economies of scale.
BODY
Explain: When a firm wants to increase its size to produce more output or enlarges its scale of production, it can enjoy cost savings.
Define internal economies of scale: possible cost reductions that a firm enjoys when it increases in size. This is reflected by a fall in average costs illustrated by a movement along the LRAC curve as the size of firm increases.
Sources of Internal Economies of Scale Technical economies
Division of labour and specialisation
- When output is sufficiently large, it becomes more efficient to allow workers to specialise in their tasks as it saves time to repeat the same task rather than move from one task to another. Thus more output can be assembled by the firm's workers in a given time because of the increase in workers' productivity. Division of labour thus increases the productivity of labour, resulting in lower unit cost of production.
Indivisibility of plant
- Some inputs may be too large for a small firm to use efficiently. A large firm that requires the use of indivisible inputs will reduce its average costs when output increases.
- Eg. Protons are manufactured in a state-of-the-art manufacturing facility in Tanjung Malim. Capable of 150,000 units per annum on four multi-model production lines, it allows flexibility and rapid response to market demand situations. Thus it requires a large firm to use the indivisible inputs effectively to reduce average costs.
Commercial economies
- As the firm expands, marketing economies can be reaped when it buys inputs and sells its output. It can buy inputs such as raw materials in bulk, thereby enjoying lower prices. In addition, it may also receive discounts as suppliers are usually keen to maintain business relations with larger firms.

Marketing economies
- A larger firm can spread its advertisement and promotion costs over a larger output, thereby reducing the unit cost of production. For Proton to be able to fully exploit EOS, it is necessary for Proton to expand overseas by engage in marketing activities such as new launches in emerging car markets e.g. China, South Africa, etc, to build brand awareness and see whether there is any significant increase in exports.
Financial economies
- Financial economies arise as large firms can borrow money more cheaply than small firms. Banks are more likely to charge larger firms lower interest rates as they are usually deemed to be more credit-worthy i.e. they are seen as customers who are better able to repay loans.
Managerial economies
- As a firm expands, it is also able to hire professionals to specialise in different areas of work. Different departments can be set up, each led by an expert in the field. This specialisation increases the productivity of the firm and thus lowers unit cost of production.
External Economies of scale: cost advantages that accrue to all firms in a particular industry due to the growth of the industry itself or improvement in the level of production technology.
Average Costs ($)
C1 C2
This is more evident if car industry is supported by government to make it viable. Lowering of average cost can be reaped in the following types of external economies of scale:
Sources of External Economies of Scale
Economies of Concentration
If firms in an industry cluster in the same area, they can reap the economies of concentration.
The individual firm benefits:
- if the industry’s suppliers also re-locate their operations in the vicinity. Apart
from ready access to inputs such as raw materials, the cost of these inputs also falls with lower transportation fees.
- E.g. Managing Director of Goodyear pointed out that it is important to make high quality of goods easily available for consumers to buy. Hence, Goodyear shifted its manufacturing base to Thailand in anticipation of growing demand.
- as labour with specific skills and talents are attracted to where the industry is concentrated. This translates to lower hiring costs for all firms as they do not have to advertise as widely or in as many newspapers as before.
- from the growth of supporting facilities, subsidiary industries and setting up of research and development centres. Technological improvements translate into lower unit costs of production. E.g. Goodyear had hosted engineers from Proton at their technical centre to improve on their quality of products to reduce cost of production.
- as the government becomes interested in developing the local infrastructure to provide better access to the airports and seaports, thereby reducing transportation and other costs.
Economies of Information
- As an industry grows there is generally an associated growth in the number of trade or specialist journals catering to the needs of the industry. Information about the industry becomes more widely available from which all firms in the industry can benefit. There may even be televised features about the industry which provide free publicity. This reduces the costs of generating information for the firm.",,
Discuss the relevance of achieving cost savings in determining the welfare of consumers. [15],"INTRODUCTION
 State that the welfare of consumers is the individual benefits derived from the consumption of goods and services and it is affected by price changes.
 Hence, changes in prices will be result a change in consumer surplus (measure of aggregate consumer welfare)
 Define consumers’ surplus: excess of social valuation of product over price actually paid. It is measured by the area of a triangle below a demand curve and above the observed price.

9
Thesis:
Students need to identify the causes of cost savings and the underlying assumptions.
Supply factors:
(i) Economies of scale (no need to elaborate too much here as it has been
explained in part (a))
 Economies of scale (Internal or external EOS)→ ↓AC
 Assume that the producers pass on the costs to consumers, ↓Prices→↑
Consumers surplus.
(ii) Subsidies
 Aim of subsidy (A form of protectionist measure to protect the infant industry): Lower prices of the domestic cars (Proton) to stimulate the consumption of Proton since it is the national car brand.
Students need to explain the increase in consumer surplus using DD and SS analysis. The effect of a subsidy on the supply of a good → ss shifts right → the equilibrium price and quantity               P, Q
 It will benefit the consumers (for those who buy Proton cars) if the producers are willing to pass on the cost savings to the consumers.
Evaluation
However, if the cost-savings lead to compromise of the product quality, there will be a general fall in consumer welfare.
Better answer will bring in the extent of shift of SS curve which will affect the extent of consumer surplus.

Anti-thesis
1. Firms may not pass on the cost savings to consumers due to high BTE.
Proton has a large market share (Oligopoly market) → price is rigid in the short run → even if there is a fall in cost of production → Proton is not able to reduce prices in fear of price war.
2. Government intervention: Impose tariffs or quotas on imported cars
Aim of a tariff/ quotas: increase the price paid for the imported cars by domestic customers, while leaving the prices paid to foreign producers the same.
Students need to consider the effects of a specific tariff and quotas on imported cars in Malaysia and explain how it results in a loss of consumer surplus and a fall in choices due to the higher-priced cars.
Analysis:
When Malaysia implements a tariff/quota → fall in SS of imported cars  ↑ in equilibrium price & ↓ in equilibrium quantity (diagram + explanation)
Evaluate:
By imposing tariffs/quotas: violate ASEAN Free Trade Agreement (the agreement effectively bar practices that discriminate against goods that are considered “Made in ASEAN” by the use of tariff and/or non-tariff barriers). Malaysia government has to pay penalties to ASEAN members for violating established free-trade regulations.
Tariff/quota effects on the Malaysia’s consumers
Consumers of the imported cars in the Malaysia suffer a reduction in well-being as a result of the tariff/ quotas. The increase in the domestic price of imported cars reduces the amount of consumer surplus and thus variety of cars available to the consumers in the market.
Consumers of Proton in Malaysia enjoy an improvement in well-being as it seems that the price of Proton has become relative cheaper compared to imported cars.
Alternative answers
Assess the effect of the government measure to liberalise domestic car market
Aim of liberalising the domestic car market: to promote sustained economic growth and increase in standard of living for its people.
Analysis:
When Malaysia liberalise domestic car market by reducing tariff/quotas → increase in SS of imported cars  ↓ in equilibrium price & ↑ in equilibrium quantity (diagram + explanation)
E.g. Malaysia’s car market set to accelerate after the government slashed import duties on imported cars made in ASEAN countries, in line with the regional trade development.

Removal of tariff/ quotas effects on the Malaysia’s consumers
Consumers of the imported cars in the Malaysia enjoy an improvement in well-being as a result of a removal of tariff/ quotas. The decrease in the domestic prices and increase in the quantity of imported cars increases the amount of consumer surplus in the market.
Since Proton cars are substitutes of imported cars, competition can cause the demand for Proton cars to fall. This will lead to a fall in the price of Proton cars. Therefore, the overall impact would be a fall in the price of cars and increase in the quantity of cars demanded, consumer surplus will increase leading to an increase in the welfare of the consumers.
Evaluation:
Malaysia may reduce tariff/ quotas on ASEAN made cars. However, they may still retain high import duties on non-ASEAN made vehicles.
3. Improvement in technology
Students need to note that R & D is critical for car industry.
High BTE→ Car industry will be able to earn supernormal profits in the long run. → to strengthen BTE→ Engage in R&D → improve in quality of cars → increase in consumer welfare
Evaluation:
Proton is already suffering from high cost of production. Hence, they may not have the excess supernormal profits to engage in R&D. For R&D to take place, the company has to invest in people, productivity and technology which may be difficult as it takes time and lots of resources. Within a ‘cutthroat environment’, it may be hard for Proton to move forward unless they have some technological tie-up with a foreign partner.
Overall evaluation
The effects on consumer surplus in long and short run
 SR: Consumer welfare will improve especially in Malaysia as majority of the car
owners consume Protons rather than imported cars. However, consumers of imported car will suffer as they have to pay a higher price for the same specification.
 LR: The uncompetitiveness of Malaysian firms and the failure of Malaysian industry to move up the value chain in the face of increasing costs and competition from other countries in the region. Furthermore, the lack of R&D, still cloud the horizon Malaysia’s long term prospects are therefore somewhat uncertain. This will affect the consumer welfare in the long run as they are consuming goods of a lower quality.
 The extent of relevance: It is not necessary true that cost savings will really affect the welfare of consumers in Malaysia. Given that Proton is protected by the government, cost savings may not be a big issue as government will find ways and means to reduce the price of Protons to encourage consumption.",,
"The wonders of free market often disappear when the assumptions are relaxed.
(a) Explain how the free market could bring ‘wonders’ to the economy. [10]","Analysis of Question
- Explain: no evaluation required though high order analysis is expected.
- Free market: Market without govt intervention/regulation
- ‘Wonders’: to be interpreted as the benefits/advantages
- Answer should present a hypothetical case of how the unregulated market could
perform its two functions well (achieving allocative efficiency), while explaining the conditions/assumptions within which the ‘wonders’ could be reaped.
INTRODUCTION
- The study of economics revolves around making the best of the limited resources we have. One of the methods in utilising the resources would be to leave it to the free, unregulated market system to allocate the resources to production of goods and then to allocate those produced goods to maximise social welfare. Though often touted as the ideal method, some assumptions need to be made in order for the wonders to be materialised.
BODY
- The free market performs two important roles – allocate scarce/limited resources to production of goods and services demanded by consumers; and to allocate such goods and services to consumers. The reason why it remains efficient is that it relies on the price mechanism to do so.
- Wonder 1 – Efficient allocation of resources
Producers in the free market will find incentive (in the form of profits) to respond to consumers’ demand for goods and services. Thus, consumer sovereignty will govern how scarce resources in an economy get allocated to the production of a myriad of goods and services. The increase in demand for a good will lead to upward bidding of prices for that good, signalling to produces to marshal more resources to produce that good. Eventually, the market will restore equilibrium, a situation with no shortage nor surplus – the wonderful outcome of resource allocation as there was no wastage of scarce resources and no one who is willing to pay for the good gets denied of the good.
- Wonder 2 – Efficient allocation of goods among consumers
Once the goods get produced, the market again does its job of allocating them to the consumers. Only those consumers who are willing and able to pay for the good gets it. There is no other mechanism necessary for the market to work its wonders to perform such allocation. It also ensures that no one who is unwilling or unable to pay for the good gets it.

- Some assumptions/conditions
There are at least three assumptions which is required for the free market to achieve AE.
(i) Perfect Information
Both consumers and producers need to know the changes in the market signal (i.e. price) so as to respond to it. Suppose demand has fallen, but the producers were not aware of the change in taste and preference of their customers. The continued production of the good will thus represent wastage of resources in the production of goods. The amount of wastage will correspond to the amount of time taken for the information (fall in demand) to be transmitted to the producers, who will then cut down production, thereby using less resources. In reality, such time lag could be substantial.
(ii) Perfect Factor Mobility
Even when the producers know that there has been an increase in demand, producers may find it difficult to increase their output immediately due to resource constraint. For example, it is difficult to find more lawyers to handle increase in lawsuit cases, discover new pieces of rich farm land to boost agricultural production, and manufacture another specialised machinery to produce cars in face of increase in demand for a certain product in a short period of time. Hence, there will remain shortages in the market – allocative inefficiency occurs.
(iii) Absence of Market Failure
Based on self-interest, whereby individuals seek to maximise their own personal welfare, the market fails to take into consideration the welfare the society should garner. Externalities, under-consumption of merit and over-consumption of demerit goods as well as the absence of incentive to produce public good will mean that the allocation of resources was not ideally done by the free market itself. There might be over- and under- allocation of resources, leading to an outcome that was not entirely wonderful.
CONCLUSION
Free market can indeed bring wonders to the economy in terms of resource and goods allocation. However, that would only be restricted to those products which do not face the constraints as described above. Otherwise, the free market may also fail to do its wonders for the economy.",,
(b) Discuss the view that the government would often fare better than the free market when the assumptions are relaxed. [15],"Analysis of Question
- Discuss: Need to present both points of view – agree/disagree before coming to a judgement.
- A classic question on market failure vs. govt failure. Answer needs to present at least two cases of market failure and how the govt could ‘fare’ better than when left to the free market. Must prove that the DWL is lowered with govt intervention.
INTRODUCTION
- When the market fails to bring wonder to the economy, the government often has to step in to attempt to maximise society’s welfare. However, it is not always the case that the government may fare better than the market all the time. The outcome would depend mostly on the capability of the government in recognising and resolving the problem left by the free market.
BODY
- Market Failure – Steel Production (-ve ext)
In the event of a negative externalities suffered by a laundry shop next to a steel factory, the steel producing market has failed to achieve allocative efficiency as excessive production has caused society’s welfare to be suboptimal. Should the social cost be taken into account by the steel producer, there will be less output produced, hence, reducing the net welfare cost incurred due to the excess production.
Government’s response
The government could then impose a quota of the amount of steel the producer can churn out per period. This will move the production closer to the social optimal level. The ability to achieve such socially optimum level of output requires the government to be able to accurately project/predict that level of output. Data on cost and benefits to all parties (and not just the laundry shop boss) need to be collected. This is a difficult task considering the scale of operation of a steel factory and the impact pollution might have on people in the long run might lead to several factors instead of merely inhalation of excessive pollution from a particular steel factory! Hence, with inappropriate data or methodology employed, the government might not be able to fare any better than the free market (in the event that too few amount of steel was produced, leading to huge shortage in the construction sector?).
- Market Failure – Public Good
The economy cannot depend on the free market to provide public good. There is simply no incentive for any profit-motivated firm to do so, as he cannot possible collect any revenue from the ‘sale’ of public good. Hence, the government’s role here is to provide the public good free. Such provision will therefore have to be funded by tax revenue collected.
Government’s response
It is indeed true that the government is likely to fare better than the free market – at least some public goods get produced! Such desirable goods/services such as streetlamps, parks, defence would otherwise be left out of the free market’s consideration. Indeed, the government has helped to improve the allocation of scarce resources to the production and provision of such goods to the economy, thereby improving the society’s welfare.

Evaluation:
Not all governments can fare better than the free market all the time. For example, if the government does not have the technical know-how to improve the market performance, then, the outcome would unlikely be a better one. A government dealing with its first ever local crude oil exploration firm may not have had the experience to limit the amount of pollution it can generate.
Even if the government possesses the technical knowledge, the changing economic climate and advancement in technology employed by the firm may render the policy (e.g. quota) previously set by the government outdated. This is likely going to lead to an under-provision of the goods in the market, depriving the society the positive net welfare of consuming the good.
CONCLUSION
It is difficult for an economist to assess whether the government has done better or fared worse than the free market in allocation of resources. This is because there are often multiple viewpoints and beliefs placed by various stakeholders. The continued monitoring of the key market indicators would inform the government of the appropriate actions that need to be taken in order to sustain a high standard of living for everybody in Singapore and beyond.",,
" The relative importance of aggregate expenditure components in influencing the outcome of the economy differ among economies, depending on their size, openness and the government policies.
(a) Explain the above statement. [10]","Question Analysis
The focus of this part of the question is on how different components of aggregate expenditure ( C, G, I and X-M) can be relatively more or less important depending on the kind of economy and its governance. The importance is here linked to the outcome of the economy which comprises its economic performance in terms of macroeconomic objectives such as low inflation rate, low unemployment rate, sustained and stable economic growth, favourable BOP position and strong and stable exchange rate.
INTRODUCTION
 Define and explain Aggregate Expenditure (AE)
 A good knowledge and understanding of AE enable us to judge/analyse the outcome
of the economy.
Note: the framework used is Y=AE approach to determining the level of income and
employment (outcome of economy)
BODY
So what is meant by AE?
AE is the sum of desired consumption, investment, government expenditure and net export expenditures. It has 2 components: an autonomous component and an induced component.
Consumption: C = a + bY where b is the mpc and a is the autonomous consumption.
Investment, Government expenditure and Export earnings assumed to be constant, exogenously determined, an autonomous component of aggregate expenditure. Imports assumed to be endogenously determined (i.e. income-induced)
 Explain what is meant by the outcome of an economy
All economies desire the attainment of goals such as low inflation rate, low unemployment rate, sustained and stable economic growth, favourable BOP position and strong and stable exchange rate. However it is not always possible to achieve all these macroeconomic objectives simultaneously. Inevitably there would usually be a trade-off among these goals often guided by what a government judges to be the most pressing problem at hand that needs immediate attention and cure.

 Link the relative importance of AE components with size, openness of economy as well as government policies
Changes in AE depending on which components change and their relative importance have differing effects on the outcome of the economy. Of course, no one economy is exactly the same as another, so each though dependent on AE changes to influence the economy, the components of AE which are more dominant therefore differ depending on the characteristics of the economy.
Size of the economy does exert a powerful influence on which component is likely to be relatively more dominant. For example, the U.S., a large economy, tend to depend more on domestic consumption expenditure than other components to alter AE be it to boost AE in times of recession or to reduce AE when inflation specifically demand- pull inflation gets out of hand. Although it is easy to conclude a large economy is likely to depend more on domestic consumption, this might turn out not accurate in certain cases.
Let’s consider China. It is a large economy which with its rapidly increasing affluence as well as population which still relies more on exports earnings rather than domestic consumption despite strong economic growth in the past decade. This phenomenon is in part due to Chinese government policies such as undervaluation of Yuan which are aimed to increase export earnings and decrease import expenditure. Also a large part of production are aimed in capital goods rather than final consumer goods to spur future growth, which could also explain relatively less importance to domestic consumption in influencing AE.
Openness of the economy plays a part in determining which component/s of AE will be relatively more important. Very open economies such as Singapore are more dependent on external trade than less open economies such as US in influencing AE. Of course, size of Singapore in a way does force it to be very open since it is a small nation with limited natural resources, thus making it both export and import reliant for both survival and growth. So does government policies of Singapore which saw export-led and FDI driven growth by ensuring brand name for Singapore’s products internationally and conducive pro-business environment in the island state.
Explain the relative importance of AE components to the outcome of the economy.
As established so far, the size and openness of economy and government policies impact the relative importance of AE components and thus the effect on the outcome of the economy.
In 2008, the global financial crisis had a major impact albeit a negative one on most economies of the world. In US, the major contributor to falling AE was domestic consumption due to uncertainty and poor consumer sentiment. Falling AE due to falling C had widened the deflationary gap and possibly brought multiplied fall in equilibrium RNY assuming there was a fall in autonomous C as well. Since, US is less open and given its relatively low saving and tax rates, this fall in real output is likely to be large given its relatively larger multiplier size and huge impact of fall in C on AE. This does explain how US suffered from recession and high unemployment rate in 2008 and 2009.

In Singapore’s case, the drastic fall in export earnings from other countries such as US and Europe rather than fall in domestic consumption that had a relatively stronger impact on AE as it led to a huge fall in AE, triggering a deflationary gap in Singapore. Given the relatively smaller multiplier due to its great openness in terms of great propensity to import as well as high savings rate, the fall in equilibrium RNY is likely to be at a smaller extent compared to a country like US but still Singapore did suffer from recession and rising unemployment in 2009 but bounced back as other economies recovered combined with timely and effective government policies such as Resilience Package.
CONCLUSION
The outcome of an economy is affected as explained above by changes to AE. However not all changes in AE components have similar effects on outcome. In countries like the U.S., a relative change in C has stronger influence on its economy than a country like Singapore which is more dependent on external trade. The relative importance of AE components in turn depend on the characteristics of an economy such as its size, openness and government policies.",,
